Wrestler,Title
Drew McIntyre,WWE Title
CM Punk,World Heavyweight Title
Penta,IC Title
Carmelo Hayes,US Title
AJ Lee,Women's IC Title
Giulia,Women's US Title
Jade Cargill,Raw/ WWE Women's Title
Stephanie Vaquer,Women's World/ SD Women's Title
Solo Sikoa,WWE/ SD Tag Title
Tama Tonga,WWE/ SD Tag Title
Jey Uso,World/ Raw Tag Title
Jimmy Uso,World/ Raw Tag Title
Nia Jax,Women's Tag Title
Lash Legend,Women's Tag Title
Joe Hendry,NXT Title
Jacy Jayne,NXT Women's Title
Myles Borne,NXT North American Title
Izzi Dame,NXT Women's North American Title
Brad Baylor,NXT Tag Team Title
Ricky Smokes,NXT Tag Team Title
"Channing ""Stacks"" Lorenzo",NXT Heritage Cup








