Wrestler,Age,WWE Title,Universal Title,World Heavyweight Title,IC Title,US Title,Women's IC Title,Women's US Title,Raw/ WWE Women's Title,Women's World/ SD Women's Title,WWE/ SD Tag Title,World/ Raw Tag Title,Women's Tag Title,NXT Title,NXT Women's Title,NXT North American Title,NXT Women's North American Title,NXT Tag Team Title,NXT Heritage Cup,Brand
AJ Styles,48,2,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,RAW
Akira Tozawa,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Austin Theory,28,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,RAW
Bron Breakker,28,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,RAW
Bronson Reed,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RAW
Brutus Creed,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,RAW
Chad Gable,39,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,RAW
CM Punk,47,2,0,2+3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RAW
Cruz Del Toro,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Dominik Mysterio,28,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,RAW
Dragon Lee,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,RAW
Erik,41,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,RAW
Finn Balor,44,0,1,0,2,1,0,0,0,0,2,4,0,2,0,0,0,0,0,RAW
Grayson Waller,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,RAW
Gunther,38,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Ivar,41,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,RAW
JD McDonagh,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,RAW
Jey Uso,40,0,0,1,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,RAW
Joaquin Wilde,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Julius Creed,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,RAW
Kofi Kingston,44,1,0,0,4,3,0,0,0,0,7,7+1,0,0,0,0,0,1,0,RAW
LA Knight,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Logan Paul,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Ludwig Kaiser,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,RAW
Otis,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RAW
Penta,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Pete Dunne,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,RAW
Rey Mysterio,51,1,0,2,2,3,0,0,0,0,1,4,0,0,0,0,0,0,0,RAW
Rusev,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Seth Rollins,39,2,2,2,2,2,0,0,0,0,0,6,0,1,0,0,0,0,0,RAW
Sheamus,47,3,0,1,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,RAW
Tyler Bate,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,RAW
Xavier Woods,39,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,1,0,RAW
Asuka,44,0,0,0,0,0,0,0,3,1,0,0,5,0,1,0,0,0,0,RAW
Bayley,36,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0,RAW
Becky Lynch,38,0,0,0,0,0,1,0,2,5,0,0,2,0,1,0,0,0,0,RAW
Ivy Nile,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Iyo Sky,35,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,RAW
Kairi Sane,37,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,RAW
Liv Morgan,31,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,RAW
Lyra Valkyria,29,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,RAW
Maxxine Dupri,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Naomi,38,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,RAW
Natalya,43,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,RAW
Nikki Bella,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Raquel Rodriguez,34,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,RAW
Rhea Ripley,29,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,RAW
Roxanne Perez,24,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,RAW
Stephanie Vaquer,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,RAW
Zoey Stark,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RAW
Aleister Black,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SmackDown
Alex Shelley,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Angel,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Angelo Dawkins,35,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,SmackDown
Apollo Crews,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Axiom,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,SmackDown
Berto,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Bo Dallas,35,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,SmackDown
Carmelo Hayes,31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,SmackDown
Chris Sabin,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Cody Rhodes,40,2,0,0,2,0,0,0,0,0,1,4+3,0,0,0,0,0,0,0,SmackDown
Damian Priest,43,0,0,1,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,SmackDown
Dexter Lumis,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Drew McIntyre,40,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,SmackDown
Elton Prince,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,SmackDown
Erick Rowan,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,SmackDown
Ilja Dragunov,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,SmackDown
Jacob Fatu,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
JC Mateo,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SmackDown
Jimmy Uso,40,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,SmackDown
Joe Gacy,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SmackDown
Johnny Gargano,38,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,0,SmackDown
Kevin Owens,41,0,1,0,2,3,0,0,0,0,1,1,0,1,0,0,0,0,0,SmackDown
Kit Wilson,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,SmackDown
The Miz,45,2,0,0,8,2,0,0,0,0,2+2,3+2,0,0,0,0,0,0,0,SmackDown
Montez Ford,35,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,SmackDown
Nathan Frazer,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,SmackDown
